"b15","NDVI","sp"
25.9930553436279,194.827743530273,0
54.5277786254883,109.702163696289,0
26.9791660308838,108.454475402832,1
32.8333320617676,92.9646987915039,0
42.7916679382324,178.891006469727,1
31.4236106872559,100.501159667969,1
38.0486106872559,117.522956848145,1
31.2986106872559,91.8827133178711,1
46.2222213745117,170.483795166016,1
38.3333320617676,147.27180480957,1
32.3870964050293,157.218643188477,1
57.4930572509766,102.744987487793,1
34.5069427490234,129.203903198242,1
35.5694427490234,177.926498413086,0
34.2083320617676,134.792633056641,1
33.9652786254883,86.5127334594727,0
55.7361106872559,96.9245758056641,0
41.6805572509766,75.0158157348633,0
39.375,152.402008056641,1
54.4375,148.888702392578,1
45.2361106872559,185.27082824707,0
63.8611106872559,107.827354431152,0
37.75,83.0046310424805,1
29.9513893127441,87.1875,0
25.1111106872559,96.889274597168,1
52.9861106872559,114.32600402832,1
36.9652786254883,96.3667068481445,0
71.3263854980469,148.968551635742,1
62.6458320617676,134.454666137695,1
29.8055553436279,95.1012725830078,0
43.6527786254883,171.345291137695,1
43.6111106872559,160.925918579102,1
45.8819427490234,119.154510498047,1
71,88.6666641235352,0
62.3958320617676,104.384452819824,0
32,104.174385070801,0
30.0625,93.9716415405273,1
68.2430572509766,162.706787109375,1
33.0416679382324,87.3589859008789,0
34.8194427490234,124.472030639648,1
42.2708320617676,106.962768554688,1
32.7777786254883,96.1558609008789,1
31.5208339691162,129.038970947266,1
48.9236106872559,131.499420166016,1
15.7986106872559,151.108596801758,1
64.0347213745117,121.528358459473,1
22.0694446563721,159.47917175293,0
40.1388893127441,117.970100402832,1
20.9027786254883,139.533172607422,1
15.9718313217163,166.718307495117,0
33.7083320617676,125.000190734863,1
23.9791660308838,114.907989501953,1
44.7777786254883,131.370376586914,1
34.7083320617676,84.6820983886719,0
43.5902786254883,96.0397338867188,0
31.7152786254883,104.949073791504,1
26.1458339691162,121.200813293457,1
34.0625,164.630020141602,1
59.0277786254883,145.873458862305,1
29.1041660308838,104.420524597168,1
56.1500015258789,67.6041641235352,0
31.5208339691162,129.038970947266,1
25.9722213745117,136.421875,1
31.7083339691162,138.576385498047,1
41.0486106872559,151.515045166016,0
45.4953269958496,169.162780761719,0
21.3541660308838,134.811157226562,1
32.5555572509766,95.6616516113281,0
32.875,88.8404693603516,0
49.1319427490234,141.386001586914,1
32.3125,91.9311370849609,1
51,136.692596435547,1
15.2083330154419,155.749618530273,1
44.5486106872559,84.2748870849609,1
26.125,135.511962890625,0
58.6180572509766,118.609954833984,0
47.2569427490234,89.5241088867188,0
29.458646774292,193.50146484375,0
52.5069427490234,122.169174194336,0
51.375,154.836029052734,0
46.2013893127441,178.490356445312,0
21.5138893127441,109.47087097168,0
63.9861106872559,101.136764526367,0
33.7430572509766,129.476852416992,1
33.5069427490234,133.986877441406,1
39.9166679382324,139.967590332031,1
31.5347213745117,97.015625,1
26.0486106872559,112.463928222656,0
22.2777786254883,164.903350830078,1
20.9652786254883,131.706787109375,1
28.4930553436279,191.773727416992,1
23.4097213745117,113.922065734863,0
34.0347213745117,107.211227416992,0
20.6597213745117,146.940002441406,0
37.3819427490234,104.625,0
45.9027786254883,113.55574798584,1
24.8055553436279,106.961036682129,0
13.8819446563721,137.307876586914,0
41.9236106872559,191.136566162109,1
32.0694427490234,98.7413177490234,1
29.5208339691162,151.03337097168,0
38.2013893127441,96.1155471801758,0
23.1180553436279,95.9909362792969,0
43.1666679382324,142.42707824707,1
66.0138854980469,115.267555236816,0
27.0833339691162,123.302665710449,1
52.8125,147.807479858398,1
42.2638893127441,100.10050201416,1
53.1313858032227,136.091247558594,1
35.7013893127441,98.2565612792969,0
33.4236106872559,85.7071762084961,0
27.3472213745117,98.859375,1
57.8888893127441,172.506942749023,0
21.9097213745117,99.358024597168,0
58.375,154.625198364258,1
45.5138893127441,90.6716842651367,1
28.6478881835938,192.657272338867,0
55.9722213745117,161.940780639648,1
34.75,117.372688293457,0
60.9513893127441,152.844131469727,1
41.4652786254883,184.238616943359,1
33.7916679382324,99.080436706543,0
65.5902786254883,124.145835876465,0
30.6944446563721,88.7492294311523,1
31.1527786254883,110.794174194336,0
35.9236106872559,92.0889282226562,1
44.2986106872559,190.720291137695,0
51.3888893127441,131.103973388672,1
29.2152786254883,151.841049194336,1
41.2777786254883,194.094528198242,0
52.5069427490234,90.5522766113281,0
63.5138893127441,114.846641540527,1
33.5833320617676,128.236114501953,1
30.4375,170.363418579102,1
14.1315793991089,131.023147583008,1
31.5277786254883,126.13599395752,1
52.6736106872559,121.078125,1
42.1041679382324,184.358032226562,0
26.3611106872559,169.621520996094,1
26.7013893127441,179.131744384766,0
29.9305553436279,118.708137512207,1
23.9444446563721,138.097793579102,1
40.4791679382324,115.16300201416,0
27.2708339691162,115.610145568848,1
31.6041660308838,101.326385498047,1
18.6319446563721,168.18017578125,1
51.6111106872559,130.643325805664,0
68.5347213745117,155.091247558594,0
53.9513893127441,119.441741943359,0
48.4861106872559,127.525657653809,1
